Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Early Release (Grades 2-5),10/14/2026,,10/14/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),10/21/2026,,10/21/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),10/28/2026,,10/28/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),11/04/2026,,11/04/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),11/18/2026,,11/18/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),12/02/2026,,12/02/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),12/09/2026,,12/09/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),12/16/2026,,12/16/2026,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),01/06/2027,,01/06/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),01/13/2027,,01/13/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),01/20/2027,,01/20/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),01/27/2027,,01/27/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),02/03/2027,,02/03/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),02/10/2027,,02/10/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),02/17/2027,,02/17/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),02/24/2027,,02/24/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),03/03/2027,,03/03/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),03/17/2027,,03/17/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),03/31/2027,,03/31/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),04/07/2027,,04/07/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),04/14/2027,,04/14/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),04/21/2027,,04/21/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),04/28/2027,,04/28/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),05/05/2027,,05/05/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),05/12/2027,,05/12/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),05/19/2027,,05/19/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),05/26/2027,,05/26/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
Early Release (Grades 2-5),06/02/2027,,06/02/2027,,True,"Every Wednesday, students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one hour early. Check your school's regular dismissal time and subtract one hour. Source: Miami-Dade County Public Schools 2026-2027 School Calendar, Elementary and Secondary.",Miami-Dade County Public Schools,False
