Hero Name,Skill Name,Skill Type,Star 1 Effect,Star 2 Effect,Star 3 Effect,Star 4 Effect,Star 5 Effect,Verified,Notes
Crystal,Soul Protection,Passive,+3% monster DMG to Forest backline,+3% monster DMG,+3% monster DMG,+3% monster DMG,+3% monster DMG,Yes,Base +24.75% monster DMG @ Lv25; ~39.75%+ @ 5★
Verna,Whispers of the Stars,Active (CS),+20% bonus Physical DMG,+45% bonus Physical DMG,+70% bonus Physical DMG,+100% bonus Physical DMG,+150% bonus Physical DMG,Yes,683% ATK random; +12% damage taken debuff vs monsters @ Lv21
Verna,Astral Guardian,Passive,+2% DMG to monsters; +5% resource gains,+2% / +5%,+2% / +5%,+2% / +5%,+2% / +5%,Yes,Base +17.45% monster DMG; +53.45% Food/Iron/Gold @ Lv23
Verna,Dance of the Stars,Active,+20% bonus Physical DMG,+45% bonus Physical DMG,+70% bonus Physical DMG,+100% bonus Physical DMG,+150% bonus Physical DMG,Yes,331.2% ATK to 2 random @ Lv24
Sophia,Dragonhunt,Active (Magic),Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,+270% bonus Magic DMG (5★ awaken),Yes,170% Magic single @ Lv5 (2★)
Sophia,Dragon's Waltz,Active (Magic/Control),Targets increased to 2,Standard star DMG tiers,Standard star DMG tiers,Targets increased to 3,+120% bonus Magic DMG (5★ awaken),Yes,156.2% Magic back-row; 10% Stun @ Lv5
Sophia,Moonlit Ripples,Passive,+4% ATK,+4% ATK,+4% ATK,+4% ATK,+4% ATK (5★ awaken),Yes,Base +20.5% ATK @ Lv5; ~36.5%+ @ 5★
Alvarez,Revolving Blades,Active (Physical),Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,+270% bonus Physical DMG (5★ awaken),Yes,346.6% ATK single @ Lv13 (4★)
Alvarez,Terror Blade,Active (CS Multi-hit),Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,Attacks scale to 20 hits,+120% bonus DMG (5★ awaken),Yes,10 hits × 43% ATK random; −5% DEF stack @ Lv12
Alvarez,Identify Weakness,Passive,+3% Physical DMG dealt,+3% Physical DMG,+3% Physical DMG,+3% Physical DMG,+3% Physical DMG (5★ awaken),Yes,Base +23.6% Physical DMG @ Lv13
Chakiss,Valiant Charge,Active (Physical),+20% bonus Physical DMG,+45% bonus Physical DMG,+70% bonus Physical DMG,+100% bonus Physical DMG,+150% bonus Physical DMG,Yes,297% ATK single @ Lv17
Chakiss,Valiant Counterattack,Active (Row AoE),+20% bonus Physical DMG,+45% bonus Physical DMG,+70% bonus Physical DMG,+100% bonus Physical DMG,+150% bonus Physical DMG,Yes,249.4% ATK row AoE; −6% enemy ATK @ Lv14
Chakiss,Shield Shock,Passive,+4% monster DMG reduction,+4% reduction,+4% reduction,+4% reduction,+4% reduction,Yes,Base −32.2% monster damage taken @ Lv14
Valkyr,Battle Realm,Active (Physical),Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,+270% bonus Physical DMG (5★ awaken),Yes,207% ATK single @ Lv10 (3★)
Valkyr,Battle Mark,Passive,+1.5% damage reduction (front row),+1.5%,+1.5%,+1.5%,+1.5% (5★ awaken),Yes,Front-row −8% all dmg + −8% magic dmg @ Lv10
Valkyr,Judgment,Active (Buff),Human allies +4% extra magic reduction,Human +8% extra,Human +12% extra,Human +16% extra,Duration → 2 turns (5★ awaken),Yes,All allies −13.3% magic dmg 1 turn @ Lv10
Sparta,Demonic Sacrifice,Active (Physical),Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,+270% bonus Physical DMG (5★ awaken),Yes,205% ATK single @ Lv10 (3★)
Sparta,Scatter the Weak,Active (Taunt),Taunt 2 enemies, Taunt 3 enemies,Standard debuff tiers,Taunt 4 enemies,−2% more ATK reduction (5★ awaken),Yes,−11.5% enemy ATK 2 turns @ Lv10
Sparta,Devil's Rage,Passive,−3% all damage taken,−3%,−3%,−3%,−3% (5★ awaken),Yes,Base −18% all damage @ Lv10; ~−33% @ 5★
Belial,Malice Curse,Active (Execute),Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,+270% bonus Physical DMG (5★ awaken),Yes,246.3% ATK to lowest-HP enemy @ Lv10
Belial,Otherworld Distortion,Active (Multi-target),+30% bonus Physical DMG,+6% permanent ATK,+70% bonus Physical DMG,Standard tier,+120% bonus Physical DMG (5★ awaken),Yes,193.8% ATK to 3 random @ Lv10
Belial,Endless Trepidation,Passive,+3% CRIT Rate,+3% CRIT,+3% CRIT,+3% CRIT,+3% CRIT (5★ awaken),Yes,Base +20% CRIT @ Lv10; ~35% @ 5★
Mirana,Ceremony,Active (Physical),Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,+270% bonus Physical DMG (5★ awaken),Yes,246.3% ATK single @ Lv10 (3★)
Mirana,Resentful Chorus,Active (AoE),Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,+270% bonus Physical DMG (5★ awaken),Yes,129.3% ATK to ALL enemies @ Lv10
Mirana,Soul Drain,Passive,+3% Physical DMG dealt,+3%,+3%,+3%,+3% (5★ awaken),Yes,Base +20% Physical DMG @ Lv10; ~35% @ 5★
Rexar,Frostlord's Throne,Active (Physical),Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,Standard star DMG tiers,+270% bonus Physical DMG (5★ awaken),Yes,204.4% ATK single @ Lv10 (3★)
Rexar,Frostbite Touch,Active (Buff),Standard buff tiers,Standard buff tiers,Effect applies to all allies,Duration → 2 turns,+5% DEF (5★ awaken),Yes,+35% DEF front row @ Lv10; all allies at 3★
Rexar,Eternal Frostlands,Passive,−3% all damage taken,−3%,−3%,−3%,−3% (5★ awaken),Yes,Base −18% all damage @ Lv10; ~−33% @ 5★
