Kataras,Demon Masked Asura,S+,Nightfall,Tank,Physical,Frenzied Hellfire,516% Physical random. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Soul's End,Front-row −13% dmg; double in Counterattack Mode. | Star upgrades: ★1-5: +1.5% per star
,,,,,,Asura's Blade,Counterattack Mode: retaliate 130% basic-attack DMG. | Star upgrades: ★1: +10% counter; ★2: 2 turns; ★3: +10%; ★4: front row mode; ★5: +10%
,,,,,,King's Advance,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Fixed"
Mirana,Spectral Rakkhasa,S+,Nightfall,DPS (Physical),Physical,Ceremony,605% Physical single. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Soul Drain,+30% Physical DMG dealt. | Star upgrades: ★1-5: +3% per star
,,,,,,Resentful Chorus,320% Physical all enemies. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Despair,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Unlocks 4★"
Monica,Shadowhunt,S+,Forest,DPS (Magic),Magic,Desert Ember,614% Magic single; splashes back-row if front target. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Feline Fury,+30% CRIT. | Star upgrades: ★1-5: +3% per star
,,,,,,Savage Swoop,3×396% Magic random. | Star upgrades: ★1: +30%; ★2: 4 hits; ★3: +70%; ★4: 5 hits; ★5: +120%
,,,,,,Bestial Blessing,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Fixed"
Rexar,Winter's Wrath,S+,Forest,Tank,Physical,Frostlord's Throne,503% ATK Physical DMG single. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Eternal Frostlands,−30% all damage taken. | Star upgrades: ★1-5: −3% per star
,,,,,,Frostbite Touch,+50% DEF front row 1 turn. | Star upgrades: ★1-2: +5% DEF; ★3: all allies; ★4: 2 turns; ★5: +5%
,,,,,,Chilling Surge,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Unlocks 4★"
Sera,Bow of Tomorrow / Arrow of Tomorrow,S+,Forest,DPS (Magic),Magic,Arrow of the Butterfly,609% Magic single; crit → Amplification stacks. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Shadow Sprite,+30% Magic DMG dealt. | Star upgrades: ★1-5: +3% per star
,,,,,,Arrow of Destiny,8 hits×121% Magic random (+16 @4★); +1 hit per Amplification. | Star upgrades: ★1: +30%; ★2: 12 hits; ★3: +70%; ★4: 16 hits; ★5: +120%
,,,,,,Darkness Vanquisher,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Fixed"
Sophia,Spirit of Ripples,S+,Human,DPS (Magic),Magic,Dragonhunt,620% Magic single. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Moonlit Ripples,+40% ATK. | Star upgrades: ★1-5: +4% per star
,,,,,,Dragon's Waltz,447% Magic back-row; 10% Stun. | Star upgrades: ★1: +30%; ★2: 2 targets; ★3: +70%; ★4: 3 targets; ★5: +120%
,,,,,,Nocturnal Brilliance,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Fixed"
Sparta,God Slayer,S+,Nightfall,Tank,Physical,Demonic Sacrifice,504% Physical single. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Devil's Rage,−30% all damage taken. | Star upgrades: ★1-5: −3% per star
,,,,,,Scatter the Weak,Taunt 2; −16.5% ATK 2 turns. | Star upgrades: ★1: −2%; ★2: 3 targets; ★3: −2%; ★4: 4 targets; ★5: −2%
,,,,,,Demonic Edge,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Fixed"
Valkyr,Valiant Warrior,S+,Human,Tank,Physical,Battle Realm,516% Physical single. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Battle Mark,Front-row −13% all dmg and −13% magic dmg. | Star upgrades: ★1-5: +1.5% per star
,,,,,,Judgment,−19.9% Magic DMG all allies 1 turn; Human bonus. | Star upgrades: ★1-4: Human +4/8/12/16%; ★5: 2 turns
,,,,,,Bloodthirst,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Fixed"
Yord,Traveler of the Forest Sea,S+,Forest,Support (Magic),Magic,Universal Chord,508% Magic single. | Star upgrades: ★1-5: +30/+70/+120/+185/+270%
,,,,,,Lingering Echo,"+45 Speed; −12% dmg to highest-ATK ally. | Star upgrades: ★1-5: +2 Speed, −1% per star"
,,,,,,Travel Invitation,+16.5% ATK all allies 1 turn. | Star upgrades: ★1: +2% ATK; ★2: +10% CRIT; ★3: +2%; ★4: 2 turns; ★5: +2%
,,,,,,Safe Prelude,"HP/ATK/DEF +20%, Speed +40. | Star upgrades: Fixed"
Aaron,Howling Wolf King,S,Forest,Support / DPS (Magic),Magic,Mesmer Talon,126.7% Magic single. | Star upgrades: ★1-5: +20/+45/+70/+100/+150%
,,,,,,Lupine Nature,−21.5% monster damage taken. | Star upgrades: ★1-4: +4% per star
,,,,,,Scar of Misfortune,Front-row −11% monster damage 1 turn. | Star upgrades: ★1-3: +2%; ★4: 2 turns; ★5: +2%
,,,,,,Ravenous Pack,HP/ATK/DEF +10%. | Star upgrades: Unlocks 4★
Ali,Electric Boxer,S,Human,DPS (Physical),Physical,Electric Punch,151.1% Physical single. | Star upgrades: ★1-5: +20/+45/+70/+100/+150%
,,,,,,Piercing Fists,4×76.7% Physical random. | Star upgrades: ★1: +20%; ★2: 6 hits; ★3: +45%; ★4: 8 hits; ★5: +70%
,,,,,,Unstoppable War Drive,+19% ATK. | Star upgrades: ★1-5: +3% per star
,,,,,,Unending Trials,HP/ATK/DEF +10%. | Star upgrades: Unlocks 4★
Chakiss,Dragon Warrior(ess),S,Nightfall,Tank,Physical,Valiant Charge,297% Physical single. | Star upgrades: ★1-5: +20/+45/+70/+100/+150%
,,,,,,Valiant Counterattack,249.4% Physical row; −6% enemy ATK. | Star upgrades: ★1-5: +20/+45/+70/+100/+150%
,,,,,,Shield Shock,−32.2% monster damage taken. | Star upgrades: ★1-5: +4% per star
,,,,,,Draconic Bloodline,HP/ATK/DEF +10%. | Star upgrades: Innate
Cthylla,Deep Terror,S,Nightfall,DPS (Magic),Magic,Soul Trial,161.3% Magic single. | Star upgrades: ★1-5: +20/+45/+70/+100/+150%
,,,,,,Tentacle Strike,+19% ATK. | Star upgrades: ★1-5: +3% per star
,,,,,,Soul Bash,113.3% Magic to 2 enemies; DEF debuff. | Star upgrades: ★1: +20%; ★2: −10% DEF; ★3: +45%; ★4: −15% DEF; ★5: +70%
,,,,,,Harsh Discipline,HP/ATK/DEF +10%. | Star upgrades: Unlocks 4★
Denise,Bard,S,Human,Support,Physical,Mirror Play,143.2% Physical single. | Star upgrades: ★1-5: +20/+45/+70/+100/+150%
,,,,,,Inspire,−21.8% monster damage taken. | Star upgrades: ★1-4: +4% per star
,,,,,,Charming Song,Back-row +12% monster damage 1 turn. | Star upgrades: ★1-3: +1%; ★4: 2 turns; ★5: +1%
,,,,,,One Last Song,HP/ATK/DEF +10%. | Star upgrades: Unlocks 4★
Edric,Spore Warrior,S,Forest,Tank,Physical,Savoir Faire,211% Physical single. | Star upgrades: ★1-5: +20/+45/+70/+100/+150%
,,,,,,Longevity,+80% DEF during battle. | Star upgrades: ★1-5: +10% DEF per star
,,,,,,Agility,−28% monster damage taken 1 turn. | Star upgrades: ★1-3: +4%; ★4: 2 turns; ★5: +4%
,,,,,,Strengthen,HP/ATK/DEF +10%. | Star upgrades: Innate
Faerie,Merciful Tree Spirit,S,Forest,DPS (Physical),Physical,Nature's Awakening,173.6% Physical single. | Star upgrades: ★1-5: +20/+45/+70/+100/+150%
,,,,,,Unending Life,+169.6% ATK. | Star upgrades: ★1-5: +3% per star
,,,,,,Nature's Punishment,209.8% Physical to 2 random. | Star upgrades: ★1-5: +20/+45/+70/+100/+150%
,,,,,,Primal Realm,HP/ATK/DEF +10%. | Star upgrades: Unlocks 4★
Garuda,Dragonslayer,S,Human,Tank / Support,Magic,Spear Rain,175.2% Magic single. | Star upgrades: ★1-5: +20/+45/+70/+100/+150%
,,,,,,Energizing Lance,−27% monster damage taken. | Star upgrades: ★1-4: +4% per star
,,,,,,War Instinct,+26% DEF front row 1 turn. | Star upgrades: ★1-3: +4%; ★4: 2 turns; ★5: +4%
,,,,,,Fervent Battle Soul,HP/ATK/DEF +10%. | Star upgrades: Innate
Marissa,Spear of Revenge,S,Nightfall,DPS (Physical),Physical,Charge,425.3% Physical single; Stun chance. | Star upgrades: ★1: +20%; ★2: 10% Stun; ★3: +45%; ★4: 20% Stun; ★5: +70%
,,,,,,Triumphal Emblem,+27% monster damage dealt. | Star upgrades: ★1-4: +4% per star
,,,,,,Absolute Precision,336% Physical single. | Star upgrades: ★1-5: +20/+45/+70/+100/+150%
,,,,,,Ranged Deterrence,HP/ATK/DEF +10%. | Star upgrades: Innate
Reina,Enchanting Witch,S,Nightfall,DPS / Support,Physical,Explosive Demon,172.6% Physical single. | Star upgrades: ★1-5: +20/+45/+70/+100/+150%
,,,,,,Devil's Embrace,+23% monster damage dealt. | Star upgrades: ★1-5: +4% per star
,,,,,,Demonic Sacrifice,5×75.3% Physical random. | Star upgrades: ★1: +20%; ★2: 7 hits; ★3: +45%; ★4: 9 hits; ★5: +70%
,,,,,,Ward Evil,HP/ATK/DEF +10%. | Star upgrades: Unlocks 4★
Verna,Starlit Princess,S,Forest,DPS / Support (WB),Physical,Whispers of the Stars,683% Physical random; +12% dmg taken vs monsters. | Star upgrades: ★1-5: +20/+45/+70/+100/+150%
,,,,,,Astral Guardian,"+17.45% monster DMG; +53.45% resources after kills. | Star upgrades: ★1-5: +2% DMG, +5% resources per star"
,,,,,,Dance of the Stars,331.2% Physical to 2 random. | Star upgrades: ★1-5: +20/+45/+70/+100/+150%
,,,,,,Star Sigil Protection,HP/ATK/DEF +10%. | Star upgrades: Innate
Harold,Tekken Chief,A,Human,DPS (Physical),Physical,Ruthless Fist,156% Physical single. | Star upgrades: ★1-5: +15/+30/+50/+75/+100%
,,,,,,Emergency Restoration,143.1% Physical to 2 enemies. | Star upgrades: ★1: +15%; ★2: 3 targets; ★3: +30%; ★4: +50%; ★5: +75%
,,,,,,Fury Stance,HP/ATK/DEF +5%. | Star upgrades: Innate
Moga,Garlic Samurai,A,Forest,DPS (Physical),Physical,Log Toss,236.1% Physical single. | Star upgrades: ★1-5: +15/+30/+50/+75/+100%
,,,,,,Log Power,160% Physical to 2 enemies. | Star upgrades: ★1: +15%; ★2: 3 targets; ★3: +30%; ★4: +50%; ★5: +75%
,,,,,,Purifying Dew,HP/ATK/DEF +5%. | Star upgrades: Innate
Romano,Holy Inquisitor,A,Nightfall,DPS (Physical),Physical,Cleanse Heresy,158.8% Physical single. | Star upgrades: ★1-5: +15/+30/+50/+75/+100%
,,,,,,Piercing Fists,144.9% Physical to 2 enemies. | Star upgrades: ★1: +15%; ★2: 3 targets; ★3: +30%; ★4: +50%; ★5: +75%
Torun,Berserk Axe,A,Forest,DPS (Physical),Physical,Berserk Axe,156% Physical single. | Star upgrades: ★1-5: +15/+30/+50/+75/+100%
,,,,,,Rising Wrath,150.4% Physical to 2 enemies. | Star upgrades: ★1: +15%; ★2: 3 targets; ★3: +30%; ★4: +50%; ★5: +75%
,,,,,,Triumphant Howl,HP/ATK/DEF +5%. | Star upgrades: Innate
